user_id,name,email,user_type,balance
U00001,User 1,user1@gmail.com,normal,229983
U00002,User 2,user2@gmail.com,vip,3746864
U00003,User 3,user3@gmail.com,normal,3015520
U00004,User 4,user4@gmail.com,vip,3572622
U00005,User 5,user5@gmail.com,vip,929606
U00006,User 6,user6@gmail.com,normal,4457373
U00007,User 7,user7@gmail.com,normal,505358
U00008,User 8,user8@gmail.com,normal,1268378
U00009,User 9,user9@gmail.com,normal,2640341
U00010,User 10,user10@gmail.com,vip,4751140
U00011,User 11,user11@gmail.com,normal,2312459
U00012,User 12,user12@gmail.com,normal,2715471
U00013,User 13,user13@gmail.com,normal,1073175
U00014,User 14,user14@gmail.com,vip,3211528
U00015,User 15,user15@gmail.com,normal,1616519
U00016,User 16,user16@gmail.com,vip,602720
U00017,User 17,user17@gmail.com,normal,688946
U00018,User 18,user18@gmail.com,vip,4521911
U00019,User 19,user19@gmail.com,vip,2618925
U00020,User 20,user20@gmail.com,vip,121990
U00021,User 21,user21@gmail.com,vip,4532454
U00022,User 22,user22@gmail.com,vip,1689416
U00023,User 23,user23@gmail.com,normal,1981792
U00024,User 24,user24@gmail.com,normal,2344774
U00025,User 25,user25@gmail.com,normal,108683
U00026,User 26,user26@gmail.com,normal,4330174
U00027,User 27,user27@gmail.com,normal,2544767
U00028,User 28,user28@gmail.com,normal,2617967
U00029,User 29,user29@gmail.com,normal,4895701
U00030,User 30,user30@gmail.com,vip,1525892
U00031,User 31,user31@gmail.com,vip,1500002
U00032,User 32,user32@gmail.com,vip,4716122
U00033,User 33,user33@gmail.com,normal,4573393
U00034,User 34,user34@gmail.com,vip,4335792
U00035,User 35,user35@gmail.com,normal,1722332
U00036,User 36,user36@gmail.com,vip,1470634
U00037,User 37,user37@gmail.com,normal,898791
U00038,User 38,user38@gmail.com,vip,3997762
U00039,User 39,user39@gmail.com,vip,1408505
U00040,User 40,user40@gmail.com,normal,4521419
U00041,User 41,user41@gmail.com,normal,1862807
U00042,User 42,user42@gmail.com,normal,5054115
U00043,User 43,user43@gmail.com,vip,471359
U00044,User 44,user44@gmail.com,normal,2643381
U00045,User 45,user45@gmail.com,normal,1409086
U00046,User 46,user46@gmail.com,normal,1686184
U00047,User 47,user47@gmail.com,normal,1248238
